,date,open,high,low,close,volume,market_cap,correction_five,correction_ten,correction_twenty,correction_thirty,correction_fourty
0,2016-01-01,430.567,436.246,427.515,433.973,40203358.333333336,6506378964.7408905,0,0,0,0,0
1,2016-01-02,434.334,436.062,431.87,433.307,31730932.291666668,6521421966.752119,0,0,0,0,0
2,2016-01-03,433.438,433.743,424.706,429.88,31171745.99303136,6461269015.564743,0,0,0,0,0
3,2016-01-04,430.011,434.517,429.084,433.122,37156232.98611111,6494453328.07912,0,0,0,0,0
4,2016-01-05,433.091,434.182,429.676,431.945,36696569.097222224,6504165662.079594,0,0,0,0,0
5,2016-01-06,431.96,431.96,426.341,430.231,33577837.97909407,6471941951.478662,0,0,0,0,0
6,2016-01-07,429.105,458.766,429.077,458.655,63150930.31358885,6756366666.199411,0,0,0,0,0
7,2016-01-08,458.048,462.934,447.938,453.353,68619854.5138889,6841605139.153501,0,0,0,0,0
8,2016-01-09,453.23,454.64,446.889,447.593,40822281.25,6778368429.156258,0,0,0,0,0
9,2016-01-10,447.611,448.309,440.351,447.7,32234513.986013982,6702060964.182711,0,0,0,0,0
10,2016-01-11,447.991,450.662,443.855,448.455,37772565.625,6752461001.925303,0,0,0,0,0
11,2016-01-12,448.428,448.428,439.521,439.521,46997749.47368421,6721631614.5765295,1,0,0,0,0
12,2016-01-13,435.69,435.69,424.443,432.366,147348225.43554008,6455646270.835556,1,0,0,0,0
13,2016-01-14,432.371,433.324,427.845,430.364,40073303.472222224,6499245749.496331,1,0,0,0,0
14,2016-01-15,430.306,430.306,365.662,365.662,88839686.45833333,6097494971.283596,1,1,1,0,0
15,2016-01-16,364.331,390.557,354.914,387.7,138314562.5,5622130448.758106,1,1,1,0,0
16,2016-01-17,387.536,390.965,380.092,382.775,70932055.08771929,5809738646.218761,1,1,0,0,0
17,2016-01-18,382.299,388.104,376.665,386.955,45239196.18055555,5786492854.183398,1,1,0,0,0
18,2016-01-19,387.168,387.73,378.972,380.688,42976926.38888889,5801770305.25236,1,1,0,0,0
19,2016-01-20,380.149,425.267,376.599,421.78,65943633.44947735,5939561671.1676855,1,1,0,0,0
20,2016-01-21,420.23,422.877,406.3,408.952,102787953.68421052,6251483480.482056,1,1,0,0,0
21,2016-01-22,410.262,410.41,375.282,382.146,68255941.31944445,5944695816.854779,1,1,0,0,0
22,2016-01-23,382.492,394.543,381.981,387.756,74252382.16783217,5878654096.627251,1,1,0,0,0
23,2016-01-24,387.491,405.485,387.491,403.198,47340944.9122807,6009286677.628716,1,1,0,0,0
24,2016-01-25,402.971,402.971,388.554,391.872,53471679.86111111,5984895447.525743,1,1,0,0,0
25,2016-01-26,391.726,397.766,390.575,392.41,57172346.68989547,5955436710.799264,1,1,0,0,0
26,2016-01-27,392.153,396.843,391.782,395.106,54529397.19298246,5974780024.651652,1,1,0,0,0
27,2016-01-28,394.972,395.502,379.735,380.316,55292454.86111111,5815422759.686724,1,1,0,0,0
28,2016-01-29,380.289,384.379,365.452,379.89,71918744.09722222,5700528881.844584,1,1,1,0,0
29,2016-01-30,379.474,380.917,376.491,378.179,49259738.88888889,5725991589.548395,1,1,0,0,0
30,2016-01-31,378.255,380.347,367.835,368.661,29835855.05226481,5734017288.200049,1,1,1,0,0
31,2016-02-01,368.767,378.072,367.957,372.942,48671439.93055555,5669123753.905216,1,1,1,0,0
32,2016-02-02,373.056,375.883,372.92,374.445,43439885.41666666,5673653036.724079,1,1,0,0,0
